agent_id,known_as,agent_city_text,agent_state_text,best_match_slug,best_match_name,best_match_state,similarity,reason
39773196-9ae9-4d76-a0bc-6f9493a9f5c3,Bismillah Tours & Travels Pvt. Ltd.,"Bhawani Peth, Pune",Uttar Pradesh,,,,,no candidate found
fe5ac2b8-f9a7-4006-8b60-f5d046043032,Hajipir Haj Tour,Bhuj Kutch,Gujarat,,,,,no candidate found
97fbf26d-85de-4f78-b9b0-70b60b17ddce,M.G. Tours & Travels.,Parganas,Maharashtra,,,,,no candidate found
aaa70a7f-ee14-46ac-8332-550d89336f7c,Ikram Haj Corporation,Dist. Thane,Maharashtra,,,,,no candidate found
7c087001-7d85-4b84-9305-b360f122cfc1,Al Aqib Travel Service,Mumbra,Maharashtra,,,,,no candidate found
162d02c9-5d00-4745-9cc2-3825b76cd5cc,Al Haramine Haj Services (P) Ltd,Broadway,,,,,,no candidate found
a0d94cb9-b21c-4b18-bbd3-40c9fa4aa35a,Al-Hussam Travel & Tours India P. India,Kilpauk,,,,,,no candidate found
42666e24-b1c1-4eb1-ad2b-bd3f99eab1cc,Al Khalid Tours & Travels,Byculla Mumbai,Maharashtra,,,,,no candidate found
b2ad0df1-414c-4b1d-b51c-85e604e4b529,Al Hidayat Tours & Travels,Mumabi,,,,,,no candidate found
f89ec748-f029-4b47-8501-ad4a0cd7c211,Chisti Travel & Tours,"Kanpur, Uttar",,,,,,no candidate found
689a998e-da01-484d-91eb-a0bd1f2b7df7,Al Faruqi Haj Umrah Tours – Idar,Sabarkantha,,,,,,no candidate found
034a4488-4d6c-47b9-8c0b-d81f2c0de0e3,The Vafadar Tours,Sabarkantha,,,,,,no candidate found
6d190693-a9c2-4551-b9c8-326fc727aee6,Mahdi Tours And Travels, Mumabi,Maharashtra,,,,,no candidate found
8c4e85d5-edcc-43d5-a8c8-ebb4d03758c8,Qiblah Haj Umrah Services,Kausa,Maharashtra,,,,,no candidate found